case,input_format,output_format,mapping_type,dataset,iteration,duration_ms,triples,engine_selected
json_ttl_yarrrml,json,TURTLE,yarrrml,small_100.json,2,1248,400,MORPH_KGC_PY
json_ttl_yarrrml,json,TURTLE,yarrrml,small_100.json,3,1404,400,MORPH_KGC_PY
json_ttl_yarrrml,json,TURTLE,yarrrml,medium_10k.json,1,2075,40000,MORPH_KGC_PY
json_ttl_yarrrml,json,TURTLE,yarrrml,medium_10k.json,2,2334,40000,MORPH_KGC_PY
json_ttl_yarrrml,json,TURTLE,yarrrml,medium_10k.json,3,3300,40000,MORPH_KGC_PY
json_ttl_yarrrml,json,TURTLE,yarrrml,large_50k.json,1,55646,200000,MORPH_KGC_PY
json_ttl_yarrrml,json,TURTLE,yarrrml,large_50k.json,2,52938,200000,MORPH_KGC_PY
json_ttl_yarrrml,json,TURTLE,yarrrml,large_50k.json,3,7287,200000,MORPH_KGC_PY
json_ttl_yarrrml,json,TURTLE,yarrrml,large_100k.json,1,51224,400000,MORPH_KGC_PY
json_ttl_yarrrml,json,TURTLE,yarrrml,large_100k.json,2,59189,400000,MORPH_KGC_PY
json_ttl_yarrrml,json,TURTLE,yarrrml,large_100k.json,3,59250,400000,MORPH_KGC_PY
