case,input_format,output_format,mapping_type,dataset,iteration,duration_ms,triples,engine_selected
json_ttl_rml,json,TURTLE,rml,small_100.json,1,1519,500,MORPH_KGC_PY
json_ttl_rml,json,TURTLE,rml,medium_10k.json,1,2199,50000,MORPH_KGC_PY
json_ttl_rml,json,TURTLE,rml,large_50k.json,1,8301,250000,MORPH_KGC_PY
json_ttl_rml,json,TURTLE,rml,large_100k.json,1,63664,500000,MORPH_KGC_PY
json_jsonld_rml,json,JSONLD,rml,small_100.json,1,43647,500,MORPH_KGC_PY
json_jsonld_rml,json,JSONLD,rml,medium_10k.json,1,58928,50000,MORPH_KGC_PY
json_jsonld_rml,json,JSONLD,rml,large_50k.json,1,59340,250000,MORPH_KGC_PY
json_jsonld_rml,json,JSONLD,rml,large_100k.json,1,59379,500000,MORPH_KGC_PY
csv_ttl_rml,csv,TURTLE,rml,small_100.csv,1,43255,500,MORPH_KGC_PY
csv_ttl_rml,csv,TURTLE,rml,medium_10k.csv,1,2501,50000,MORPH_KGC_PY
csv_ttl_rml,csv,TURTLE,rml,large_50k.csv,1,9160,250000,MORPH_KGC_PY
csv_ttl_rml,csv,TURTLE,rml,large_100k.csv,1,45706,500000,MORPH_KGC_PY
csv_jsonld_rml,csv,JSONLD,rml,small_100.csv,1,43548,500,MORPH_KGC_PY
csv_jsonld_rml,csv,JSONLD,rml,medium_10k.csv,1,58868,50000,MORPH_KGC_PY
csv_jsonld_rml,csv,JSONLD,rml,large_50k.csv,1,59370,250000,MORPH_KGC_PY
csv_jsonld_rml,csv,JSONLD,rml,large_100k.csv,1,59373,500000,MORPH_KGC_PY
xml_ttl_rml,xml,TURTLE,rml,invoices_100.xml,1,43251,0,MORPH_KGC_PY
xml_ttl_rml,xml,TURTLE,rml,invoices_1k.xml,1,1391,0,MORPH_KGC_PY
xml_ttl_rml,xml,TURTLE,rml,invoices_5k.xml,1,NA,NA,NA
xml_ttl_rml,xml,TURTLE,rml,invoices_10k.xml,1,NA,NA,NA
